TARGET_deathRate,avgAnnCount,avgDeathsPerYear,incidenceRate,popEst2015,povertyPercent,studyPerCap,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctHS25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPublicCoverage,PctMarriedHouseholds,BirthRate
164.9,1397,469,489.8,260131,11.2,499.7482038,39.3,36.9,41.7,Pacific Region,2.54,52.5,23.2,51.9,8,75.1,52.85607588,6.118831029
161.3,173,70,411.6,43269,18.6,23.11123437,33,32.2,33.7,Pacific Region,2.34,44.5,26,55.9,7.8,70.2,45.37250044,4.333095578
174.7,102,50,349.7,21026,14.6,47.56016361,45,44,45.8,Pacific Region,2.62,54.2,29,45.9,7,63.7,54.44486837,3.729487817
194.8,427,202,430.4,75882,17.1,342.6372526,42.8,42.2,43.4,Pacific Region,2.52,52.7,31.6,48.3,12.1,58.4,51.02151448,4.603840773
144.4,57,26,350.1,10321,12.5,0,48.3,47.8,48.9,Pacific Region,2.34,57.8,33.4,48.2,4.8,61.6,54.02745995,6.796657382
176,428,152,505.4,61023,15.6,180.259902,45.4,43.5,48,Pacific Region,2.58,50.4,30.4,44.1,12.9,60,51.22035959,4.964476021
175.9,250,97,461.8,41516,23.2,0,42.6,42.2,43.5,Pacific Region,2.42,54.1,29.8,51.8,8.9,49.5,51.01389975,4.204317269
183.6,146,71,404,20848,17.8,0,51.7,50.8,52.5,Pacific Region,2.24,52.7,31.6,40.9,8.9,55.8,48.96703297,5.889178996
190.5,88,36,459.4,13088,22.3,0,49.3,48.4,49.8,Pacific Region,2.38,55.9,32.2,39.5,10.3,55.5,53.44699778,5.587583149
177.8,4025,1380,510.9,843954,13.1,427.7484318,35.8,34.7,37,Pacific Region,2.65,50,28.8,56.6,9.2,69.9,50.06357342,5.533430211
121.4,113,36,413.3,16252,12.7,0,54.4,54,54.6,Pacific Region,2.04,56.8,17.2,54.6,5.9,67.2,50.0389206,4.586129754
172.7,740,269,499.3,121846,15.7,837.1222691,41,40,42.2,Pacific Region,2.56,53.6,26.7,54.1,8.2,64.4,52.93732685,5.818153266
